Particles,FPS
0,60
10000,60
20000,60
30000,60
40000,60
50000,60
60000,60
70000,59
75000,58
80000,55
85000,50
90000,48
95000,46
100000,43
110000,40
115000,38
125000,35
150000,30
170000,25
200000,20
250000,18
280000,16
300000,15
320000,13
400000,11
450000,10
500000,9
600000,8
800000,7
1000000,6
1200000,5
1300000,4
1500000,3
2000000,2
3000000,1
